text,label
Call the police! please,help_emergency
Show me the nearest police station,help_location
GOOD MORNING,casual_smalltalk
"Hey, Hi bot",casual_smalltalk
Hi bot,casual_smalltalk
Where can I get food nearby?,help_location
WHAT TIME IS SUNSET?,help_condition
"Hey, Locate a park nearby",help_location
Who’s your developer? please,casual_botinfo
"Hey, How have you been?",casual_smalltalk
Sup? please,casual_smalltalk
SHOW ME NEARBY RESTAURANTS,help_location
How’s it going?,casual_smalltalk
What’s up? please,casual_smalltalk
"Hey, When were you made?",casual_botinfo
Where’s the bus stop?,help_location
SHOW ME THE CLOSEST HOTEL,help_location
what’s the capital of japan?,info_general
where can i get food nearby?,help_location
i’m in danger!,help_emergency
what’s the weather today?,help_condition
"Hey, What can you do?",casual_botinfo
Are you updated?,casual_botinfo
Help! I’m hurt! please,help_emergency
who invented electricity?,info_general
Who built you? please,casual_botinfo
Show me the nearest police station please,help_location
How’s life?!,casual_smalltalk
WHAT’S THE FORECAST?,help_condition
what is blockchain?,info_general
Can you tell me Are you AI??,casual_botinfo
nice to see you,casual_smalltalk
Explain photosynthesis!,info_general
How’s it going?!,casual_smalltalk
where can i get groceries?,help_location
What is climate change?,info_general
Show me nearby restaurants,help_location
Help! I’m hurt!,help_emergency
LOCATE A PETROL STATION,help_location
I’m bleeding! please,help_emergency
Is it hot today? please,help_condition
Please help me!!,help_emergency
Tell me today’s date please,help_condition
"Hey, I’m bleeding!",help_emergency
What are black holes?,info_general
"Hey, Show me the closest hotel",help_location
How are you? please,casual_smalltalk
Hey you please,casual_smalltalk
Can you tell me Who’s your developer??,casual_botinfo
Locate the nearest post office!,help_location
"Hey, Are you updated?",casual_botinfo
Can you tell me How’s life??,casual_smalltalk
Hello!!,casual_smalltalk
Can you tell me Find me a pharmacy?,help_location
Long time no see please,casual_smalltalk
Can you tell me Are you real??,casual_botinfo
What language are you coded in? please,casual_botinfo
are you real?,casual_botinfo
How’s it going?,casual_smalltalk
What time is sunset?,help_condition
Can you tell me Why is the sky blue??,info_general
How does GPS work?,info_general
Can you tell me How’s life??,casual_smalltalk
Hi bot,casual_smalltalk
are you ai?,casual_botinfo
locate a petrol station,help_location
i need medical assistance!,help_emergency
Who created you? please,casual_botinfo
Is it cold outside?!,help_condition
"Hey, When is sunrise?",help_condition
Do you think like a human?!,casual_botinfo
how does a computer work?,info_general
"Hey, How does GPS work?",info_general
Call the police!,help_emergency
"Hey, What are you doing?",casual_smalltalk
Where is the nearest hospital?!,help_location
Find a coffee shop near me!,help_location
Help! I’m hurt!!,help_emergency
Can you tell me Someone’s breaking in!?,help_emergency
Can you tell me When did the internet start??,info_general
what’s the forecast?,help_condition
Can you tell me Show me the closest hotel?,help_location
WHO INVENTED ELECTRICITY?,info_general
I think I’m having a heart attack!,help_emergency
Good morning,casual_smalltalk
TELL ME THE DATE,help_condition
Tell me about gravity,info_general
call an ambulance!,help_emergency
Can you tell me What’s tomorrow’s weather??,help_condition
I’M LOST!,help_emergency
Where is the library?,help_location
Can you tell me What’s the humidity??,help_condition
i think i’m having a heart attack!,help_emergency
Someone is following me!!,help_emergency
WHAT TIME IS SUNSET?,help_condition
How’s the weather outside?,help_condition
Locate a park nearby,help_location
What is blockchain?!,info_general
Can you tell me What’s tomorrow’s weather??,help_condition
i need medical assistance!,help_emergency
when did the internet start?,info_general
WHAT’S TOMORROW’S WEATHER?,help_condition
is it going to rain today?,help_condition
"Hey, What does AI mean?",info_general
Can you tell me Find a coffee shop near me?,help_location
FIND A COFFEE SHOP NEAR ME,help_location
WHERE IS THE NEAREST HOSPITAL?,help_location
Can you tell me What season is it??,help_condition
NICE TO SEE YOU,casual_smalltalk
Locate the nearest post office please,help_location
What season is it? please,help_condition
NICE TO SEE YOU,casual_smalltalk
What’s up? please,casual_smalltalk
"Hey, There’s a fire!",help_emergency
I’VE BEEN ROBBED!,help_emergency
Is it windy today? please,help_condition
Can you tell me what you are?!,casual_botinfo
Can you tell me Tell me about the solar system?,info_general
WHAT’S THE WEATHER TODAY?,help_condition
"Hey, Define machine learning",info_general
What version are you?!,casual_botinfo
hi bot,casual_smalltalk
ARE YOU A CHATBOT?,casual_botinfo
Who built you? please,casual_botinfo
How are you?!,casual_smalltalk
Where is the library?,help_location
WHAT CAN YOU DO?,casual_botinfo
WHAT’S THE WEATHER TODAY?,help_condition
"Hey, Tell me about the solar system",info_general
Can you tell me What is the speed of light??,info_general
Can you tell me Someone is following me!?,help_emergency
Hi,casual_smalltalk
Can you tell me Who created you??,casual_botinfo
Can you tell me Call an ambulance!?,help_emergency
How does WiFi work?,info_general
"Hey, What season is it?",help_condition
Hey there,casual_smalltalk
"Hey, Find a clinic near me",help_location
What’s the capital of Japan? please,info_general
WHERE’S THE BUS STOP?,help_location
what time is sunset?,help_condition
When were you made? please,casual_botinfo
"Hey, I’m bleeding!",help_emergency
Can you tell me My house is on fire!?,help_emergency
EXPLAIN RELATIVITY,info_general
Tell me about gravity please,info_general
CALL THE POLICE!,help_emergency
My house is on fire!,help_emergency
"Hey, Are you real?",casual_botinfo
What’s the weather today?!,help_condition
Someone’s breaking in!,help_emergency
Tell me about gravity please,info_general
Is it going to rain today?,help_condition
HI,casual_smalltalk
HELLO!,casual_smalltalk
What is climate change? please,info_general
Are you real?,casual_botinfo
Can you tell me Hi bot?,casual_smalltalk
Emergency! Please help!!,help_emergency
IS IT WINDY TODAY?,help_condition
What day is it?!,help_condition
are you human?,casual_botinfo
WHERE IS THE TRAIN STATION?,help_location
Tell me the date!,help_condition
Show me the closest hotel,help_location
Can you tell me Where is the train station??,help_location
What time is it?!,help_condition
how are you?,casual_smalltalk
Can you tell me Someone is following me!?,help_emergency
Can you tell me I’m lost!?,help_emergency
Can you tell me Hello!?,casual_smalltalk
Are you human?,casual_botinfo
Where is the library?,help_location
Good morning!,casual_smalltalk
locate a petrol station,help_location
FIND A CLINIC NEAR ME,help_location
How does WiFi work?,info_general
Can you tell me Hi bot?,casual_smalltalk
Can you tell me What is blockchain??,info_general
What is quantum computing?,info_general
call the police!,help_emergency
NICE TO SEE YOU,casual_smalltalk
Do you think like a human?,casual_botinfo
"Hey, Good morning",casual_smalltalk
WHAT ARE YOU DOING?,casual_smalltalk
Who made you?,casual_botinfo
Where can I get groceries? please,help_location
are you a chatbot?,casual_botinfo
SEND HELP QUICKLY!,help_emergency
WHAT IS THE SPEED OF LIGHT?,info_general
Can you tell me Someone’s breaking in!?,help_emergency
Locate the nearest post office please,help_location
HEY THERE,casual_smalltalk
Can you tell me What can you do??,casual_botinfo
Where’s the bus stop? please,help_location
I need medical assistance! please,help_emergency
"Hey, Howdy!",casual_smalltalk
What day is it? please,help_condition
Locate the nearest post office please,help_location
Find a restaurant near me!,help_location
I CAN’T BREATHE!,help_emergency
IS IT COLD OUTSIDE?,help_condition
"Hey, What time is sunset?",help_condition
How does GPS work? please,info_general
"Hey, What’s tomorrow’s weather?",help_condition
EXPLAIN RELATIVITY,info_general
Who is the president of France?!,info_general
call an ambulance!,help_emergency
what’s the forecast?,help_condition
Hey you please,casual_smalltalk
Locate a park nearby,help_location
How’s it going?!,casual_smalltalk
EMERGENCY! PLEASE HELP!,help_emergency
There’s a fire!,help_emergency
Do you think like a human? please,casual_botinfo
Why is the sky blue? please,info_general
What’s the humidity?!,help_condition
Who built you? please,casual_botinfo
find a clinic near me,help_location
WHERE IS THE TRAIN STATION?,help_location
IS IT SNOWING?,help_condition
EXPLAIN PHOTOSYNTHESIS,info_general
Can you tell me Show me the nearest police station?,help_location
"Hey, What’s tomorrow’s weather?",help_condition
Define machine learning please,info_general
WHO INVENTED ELECTRICITY?,info_general
Can you tell me Find me a pharmacy?,help_location
Can you tell me Locate the nearest post office?,help_location
What are you doing?,casual_smalltalk
Are you AI?,casual_botinfo
what is nanotechnology?,info_general
tell me today’s date,help_condition
Sup?!,casual_smalltalk
my house is on fire!,help_emergency
Is it hot today? please,help_condition
why is the sky blue?,info_general
there’s a fire!,help_emergency
When is sunrise?!,help_condition
LOCATE A PETROL STATION,help_location
Howdy!,casual_smalltalk
How are you?,casual_smalltalk
Find me a gas station!,help_location
What’s the humidity?,help_condition
"Hey, Are you updated?",casual_botinfo
Can you tell me Hello!?,casual_smalltalk
Can you tell me Hello!?,casual_smalltalk
ARE YOU AI?,casual_botinfo
What time is it in New York?!,help_condition
Why is the sky blue? please,info_general
Why is the sky blue?!,info_general
hi,casual_smalltalk
"Hey, What does AI mean?",info_general
FIND ME A PHARMACY,help_location
WHO MADE YOU?,casual_botinfo
Who built you?,casual_botinfo
Can you tell me What is blockchain??,info_general
Define machine learning,info_general
I’ve been robbed! please,help_emergency
"Hey, I’m bleeding!",help_emergency
call an ambulance!,help_emergency
i need medical assistance!,help_emergency
Can you tell me Send help quickly!?,help_emergency
